2014-1-2	2	5	7	14	18
2014-1-1	9	21	29	33	36
2013-12-31	2	6	15	19	31
2013-12-30	2	14	15	23	31
2013-12-29	14	17	18	37	39
2013-12-28	15	16	17	26	37
2013-12-27	1	4	6	22	28
2013-12-26	7	13	21	28	30
2013-12-25	2	7	8	21	34
2013-12-24	6	14	23	30	37
2013-12-23	9	10	15	36	37
2013-12-22	1	3	27	30	37
2013-12-21	4	11	31	35	36
2013-12-20	4	8	25	28	36
2013-12-19	13	20	29	31	36
2013-12-18	4	17	18	20	36
2013-12-17	10	15	22	27	38
2013-12-16	8	9	13	15	20
2013-12-15	1	17	18	33	38
2013-12-14	16	19	32	33	39
2013-12-13	10	17	21	25	30
2013-12-12	14	27	28	37	38
2013-12-11	2	5	25	30	38
2013-12-10	2	3	19	25	26
2013-12-9	9	14	19	20	29
2013-12-8	2	22	26	29	32
2013-12-7	9	11	20	24	26
2013-12-6	11	17	30	34	38
2013-12-5	4	14	15	33	38
2013-12-4	3	14	28	30	31
2013-12-3	4	12	22	23	35
2013-12-2	9	11	13	30	31
2013-12-1	7	11	16	36	39
2013-11-30	2	14	19	28	34
2013-11-29	18	19	24	30	35
