
#	Numbers	Score	Sum	E/O	Details
1	8 10 22 33 37	78.48	110	3/2	Show
2	7 10 24 29 35	76.62	105	2/3	Show
3	10 11 26 28 39	75.33	114	3/2	Show
4	6 7 23 34 36	75.17	106	3/2	Show
5	5 7 26 34 36	74.27	108	3/2	Show
6	12 13 24 27 37	74.23	113	2/3	Show
7	9 14 19 28 35	74.22	105	2/3	Show
8	1 10 25 32 33	74.12	101	2/3	Show
9	3 4 24 33 37	72.67	101	2/3	Show
10	11 18 23 26 31	72.6	109	2/3	Show


#	Numbers	Score	Sum	E/O	Details
1	4 12 25 37 39	75.39	117	2/3	Show
2	4 18 19 37 39	75.04	117	2/3	Show
3	4 13 25 36 39	74.99	117	2/3	Show
4	4 16 25 33 39	74.99	117	2/3	Show
5	1 18 26 33 39	74.45	117	2/3	Show
6	1 19 24 36 37	71.95	117	2/3	Show
7	4 23 25 32 33	71.04	117	2/3	Show
8	1 23 26 33 34	69.3	117	2/3	Show
9	2 19 25 35 36	67.95	117	2/3	Show
10	8 9 26 35 39	66.5	117	2/3	Show


1	4 11 24 33 38	79.28	110	3/2	Show
2	4 13 22 33 38	79.28	110	3/2	Show
3	1 18 26 32 33	79.18	110	3/2	Show
4	1 11 26 34 38	78.88	110	3/2	Show
5	4 15 24 29 38	78.88	110	3/2	Show
6	6 10 25 33 36	78.48	110	3/2	Show
7	8 11 20 33 38	77.68	110	3/2	Show
8	8 10 19 34 39	76.63	110	3/2	Show
9	8 18 24 29 31	76.48	110	3/2	Show
10	9 14 24 28 35	75.68	110	3/2	Show



#	Numbers	Score	Sum	E/O	Details
1	4 18 24 35 39	75.09	120	3/2	Show
2	1 18 26 37 38	74.19	120	3/2	Show
3	1 19 26 36 38	73.09	120	3/2	Show
4	2 19 24 37 38	72.59	120	3/2	Show
5	1 22 26 33 38	72.04	120	3/2	Show
6	2 19 26 35 38	71.49	120	3/2	Show
7	2 17 26 37 38	71.39	120	3/2	Show
8	1 22 25 34 38	70.84	120	3/2	Show
9	10 18 27 32 33	70.74	120	3/2	Show
10	1 20 26 35 38	70.44	120	3/2	Show



#	Numbers	Score	Sum	E/O	Details
1	4 19 25 36 37	71.69	121	2/3	Show
2	4 22 25 33 37	71.14	121	2/3	Show
3	2 18 25 37 39	70.05	121	2/3	Show
4	4 21 24 35 37	69.94	121	2/3	Show
5	4 22 23 35 37	69.84	121	2/3	Show
6	4 20 25 35 37	69.54	121	2/3	Show
7	4 21 25 34 37	69.54	121	2/3	Show
8	4 23 25 32 37	69.54	121	2/3	Show
9	4 23 25 33 36	69.14	121	2/3	Show
10	4 24 25 31 37	68.64	121	2/3	Show


#	Numbers	Score	Sum	E/O	Details
