08-31-2008	22 - 33 - 35 - 36 - 38
08-30-2008	21 - 25 - 31 - 33 - 38
08-29-2008	10 - 17 - 22 - 27 - 35
08-28-2008	10 - 11 - 12 - 15 - 24
08-27-2008	09 - 15 - 16 - 22 - 37
08-26-2008	03 - 09 - 20 - 22 - 32
08-25-2008	08 - 19 - 28 - 30 - 35
08-24-2008	08 - 14 - 25 - 31 - 38
08-23-2008	18 - 21 - 22 - 23 - 38
08-22-2008	07 - 10 - 23 - 31 - 32
08-21-2008	10 - 20 - 36 - 37 - 38
08-20-2008	03 - 08 - 21 - 29 - 34
08-19-2008	04 - 12 - 16 - 23 - 29
08-18-2008	03 - 18 - 19 - 25 - 39
08-17-2008	05 - 13 - 19 - 25 - 33
08-16-2008	01 - 06 - 25 - 34 - 35
08-15-2008	01 - 21 - 31 - 33 - 35
08-14-2008	07 - 16 - 21 - 30 - 36
08-13-2008	03 - 19 - 32 - 37 - 39
08-12-2008	12 - 15 - 16 - 28 - 37
08-11-2008	05 - 06 - 08 - 17 - 31
08-10-2008	07 - 15 - 17 - 18 - 27
08-09-2008	01 - 24 - 28 - 31 - 38
08-08-2008	15 - 17 - 20 - 22 - 29
08-07-2008	04 - 06 - 20 - 24 - 33
08-06-2008	16 - 23 - 28 - 32 - 39
08-05-2008	06 - 07 - 20 - 22 - 38
08-04-2008	01 - 03 - 08 - 24 - 30
08-03-2008	03 - 04 - 06 - 27 - 36
08-02-2008	19 - 24 - 28 - 29 - 33
08-01-2008	04 - 17 - 19 - 36 - 37
07-31-2008	12 - 16 - 21 - 29 - 38
07-30-2008	08 - 09 - 20 - 29 - 36
07-29-2008	09 - 12 - 23 - 34 - 38
07-28-2008	14 - 23 - 29 - 34 - 39
07-27-2008	01 - 05 - 07 - 12 - 25
07-26-2008	01 - 17 - 29 - 30 - 31
07-25-2008	09 - 13 - 33 - 38 - 39
07-24-2008	02 - 09 - 14 - 22 - 31
07-23-2008	01 - 06 - 17 - 24 - 34
