
#	Numbers	Score	Sum	E/O	Details
1	8 11 13 22 32	64.96	86	3/2	Show
2	5 6 15 22 38	64.86	86	3/2	Show
3	2 11 13 22 38	64.56	86	3/2	Show
4	5 8 15 22 36	62.96	86	3/2	Show
5	2 6 19 28 31	62.56	86	3/2	Show
6	8 10 15 24 29	62.31	86	3/2	Show
7	5 10 19 22 30	62.16	86	3/2	Show
8	2 18 19 22 25	61.81	86	3/2	Show
9	5 16 19 22 24	61.11	86	3/2	Show
10	9 11 12 26 28	59.81	86	3/2	Show



#	Numbers	Score	Sum	E/O	Details
1	8 13 15 24 35	69.05	95	2/3	Show
2	8 11 15 26 35	68.25	95	2/3	Show
3	5 16 19 22 33	67.85	95	2/3	Show
4	8 13 15 29 30	67.75	95	2/3	Show
5	9 12 15 20 39	66.92	95	2/3	Show
6	5 11 12 29 38	66.55	95	2/3	Show
7	9 13 15 24 34	66.52	95	2/3	Show
8	2 15 19 27 32	65.32	95	2/3	Show
9	8 17 19 23 28	65.2	95	2/3	Show
10	5 10 24 25 31	64.95	95	2/3	Show



#	Numbers	Score	Sum	E/O	Details
1	6 13 15 28 34	71.55	96	3/2	Show
2	6 10 13 28 39	71.15	96	3/2	Show
3	6 12 15 29 34	70.75	96	3/2	Show
4	3 15 20 22 36	69.95	96	3/2	Show
5	8 11 13 26 38	69.15	96	3/2	Show
6	8 11 22 24 31	68.35	96	3/2	Show
7	9 12 13 24 38	68.25	96	3/2	Show
8	8 11 23 24 30	67.45	96	3/2	Show
9	3 10 25 26 32	67.05	96	3/2	Show
10	9 10 20 22 35	67.05	96	3/2	Show



#	Numbers	Score	Sum	E/O	Details
1	3 15 20 26 39	74.65	103	2/3	Show
2	9 11 20 24 39	74.25	103	2/3	Show
3	3 13 20 28 39	73.85	103	2/3	Show
4	3 17 20 24 39	73.85	103	2/3	Show
5	8 15 19 22 39	72.11	103	2/3	Show
6	6 15 19 29 34	71.71	103	2/3	Show
7	3 18 22 29 31	71.45	103	2/3	Show
8	6 11 24 25 37	70.41	103	2/3	Show
9	6 15 23 24 35	70.01	103	2/3	Show
10	11 15 22 25 30	67.86	103	2/3	Show




#	Numbers	Score	Sum	E/O	Details
1	1 18 24 28 39	78.26	110	3/2	Show
2	1 12 24 34 39	77.46	110	3/2	Show
3	6 15 23 32 34	77.06	110	3/2	Show
4	1 15 24 34 36	77.06	110	3/2	Show
5	4 15 20 34 37	76.66	110	3/2	Show
6	6 18 25 28 33	76.66	110	3/2	Show
7	1 10 24 36 39	76.66	110	3/2	Show
8	1 14 24 32 39	76.66	110	3/2	Show
9	1 18 24 32 35	76.26	110	3/2	Show
10	8 15 22 28 37	75.86	110	3/2	Show



#	Numbers	Score	Sum	E/O	Details
1	6 15 24 33 39	72.63	117	2/3	Show
2	6 11 24 37 39	71.43	117	2/3	Show
3	6 15 25 32 39	71.43	117	2/3	Show
4	5 15 26 34 37	71.16	117	2/3	Show
5	14 18 23 25 37	68.51	117	2/3	Show
6	14 15 23 27 38	68.01	117	2/3	Show
7	15 18 20 27 37	67.98	117	2/3	Show
8	14 19 22 27 35	67.31	117	2/3	Show
9	14 19 23 30 31	65.21	117	2/3	Show
10	15 19 26 27 30	65.08	117	2/3	Show



#	Numbers	Score	Sum	E/O	Details
1	8 15 24 34 39	72.46	120	3/2	Show
2	8 11 24 38 39	71.16	120	3/2	Show
3	6 18 28 33 35	70.86	120	3/2	Show
4	14 15 20 32 39	69.31	120	3/2	Show
5	6 23 25 32 34	68.21	120	3/2	Show
6	6 22 28 31 33	67.81	120	3/2	Show
7	14 15 22 33 36	67.71	120	3/2	Show
8	14 19 24 26 37	67.41	120	3/2	Show
9	14 19 22 27 38	67.01	120	3/2	Show
10	6 23 28 31 32	66.11	120	3/2	Show



#	Numbers	Score	Sum	E/O	Details
1	15 18 22 34 37	67.61	126	3/2	Show
2	15 18 24 33 36	67.21	126	3/2	Show
3	15 19 24 32 36	66.41	126	3/2	Show
4	15 18 23 34 36	66.01	126	3/2	Show
5	15 22 23 32 34	65.91	126	3/2	Show
6	15 20 23 32 36	65.61	126	3/2	Show
7	15 17 24 34 36	65.61	126	3/2	Show
8	15 17 28 32 34	65.61	126	3/2	Show
9	14 18 26 33 35	63.61	126	3/2	Show
10	5 26 28 33 34	62.71	126	3/2	Show



#	Numbers	Score	Sum	E/O	Details
1	5 15 24 38 39	70.66	121	2/3	Show
2	5 18 24 35 39	69.56	121	2/3	Show
3	5 16 24 37 39	69.16	121	2/3	Show
4	14 15 22 33 37	68.01	121	2/3	Show
5	5 19 28 33 36	67.96	121	2/3	Show
6	6 19 28 33 35	66.63	121	2/3	Show
7	8 15 23 37 38	66.13	121	2/3	Show
8	15 18 26 29 33	65.98	121	2/3	Show
9	15 17 23 32 34	64.78	121	2/3	Show
10	14 19 28 29 31	64.01	121	2/3	Show



#	Numbers	Score	Sum	E/O	Details
1	6 25 28 37 39	58.59	135	2/3	Show
2	14 25 27 33 36	57.92	135	2/3	Show
3	6 27 28 35 39	56.49	135	2/3	Show
4	15 21 28 35 36	55.29	135	2/3	Show


#	Numbers	Score	Sum	E/O	Details
1	13 15 22 26 33	72.37	109	2/3	Show
2	9 12 25 28 36	72.26	110	3/2	Show
3	15 18 23 28 32	71.41	116	3/2	Show
4	1 6 19 28 39	70.85	93	2/3	Show
5	14 18 24 27 33	69.81	116	3/2	Show
6	11 12 24 26 31	69.2	104	3/2	Show
